marker_index,user_id,comment_id,category_id,category_en,lon,lat,marker_text,text_len,num_likes,liker_ids
45,17967,20315,3,Missing bike path,-73.55557946640768,45.509175672231834,"Le REV se termine ici et envoie tous les usagers du vélo sur une route très dangereuse où les automobilistes roulent très vite. Il faut que l'aménagement soit fait en respect du territoire patrimonial du Vieux-montréal et qu'il soit de qualité : usage de granit et pavé pour les ilots protecteurs, plantation d'arbres tout le long de l'axe, etc.",345,21,18532;49215;49828;46655;49850;49072;23025;51024;51656;51658;51858;19019;48135;52119;52315;51050;52468;52478;53599;51232;53225
46,17967,20316,3,Missing bike path,-73.6116081757202,45.530793894201366,"Pour rejoindre la piste plus au sud, les usagers du vélo sont mis en danger à ce niveau. Il faut aménager une piste ici et en profiter pour verdir tout le long de cet axe.",171,10,48175;51398;50569;50336;51050;51103;52581;53633;48682;55157
47,17967,20317,3,Missing bike path,-73.609584674734,45.52539501550197,"Tout le territoire autour de Du Parc est habité par des familles et des personnes vulnérables, il faut impérativement sécuriser cette rue. L'ajout de piste cyclable et d'autres mesures d'apaisement permettront d'arrêter le carnage (13 morts dans les 13 dernières années)",270,12,18221;48140;33218;48175;51309;48137;23025;51398;19019;50001;51714;51050
48,17967,20318,2,Bike path needing improvement or adjustment,-73.62767189245362,45.52976654822112,"Il faut faire des séparation en dur sur la piste Querbes car il arrive souvent que des ""juste 2 minutes"" soient stationnés, ce qui force les gens à vélo de se mettre en danger en allant dans la voie auto.",204,10,19008;48837;32141;51499;23025;51631;19019;48800;51050;53954
49,17967,20319,1,Appreciated bike path,-73.59335655544797,45.51568724236853,Prolongement de cette piste très apprécié. Bonne largeur sécuritaires et excellent qualité d'asphalte.,102,18,47608;49215;51214;48301;18316;42332;51359;19019;48620;48865;51864;51050;52451;18133;53614;53724;49239;55094
50,17967,20320,2,Bike path needing improvement or adjustment,-73.58876922022222,45.517357864770986,"On apprécie la piste sur l'avenue Mont-Royal, mais il aurait été bien d'ajouter plus d'arbres et utiliser des matériaux comme le granit, en respect du site du Mont Royal.",170,2,51050;47993
51,17967,20322,2,Bike path needing improvement or adjustment,-73.57162177445201,45.504031376143985,Croisement de 2 pistes bidirectionnelles où les usagers sont souvent confus. J'ai failli avoir une grave collision à cet endroit. Il faut créer un ilot protecteur pour les virages sur Maisonneuve.,196,17,48492;48140;48316;48647;51375;51401;51398;51668;48464;51689;51794;47554;51050;50411;53265;53342;53467
52,17967,20324,3,Missing bike path,-73.57036903030601,45.50339698159607,"Pour aller au sud du centre-ville, il faut faire tout un détour par Peel ou sur la futures piste Saint-Urbain, il faut donc prolonger University/Robert-Bourassa jusqu'au REV Saint-Antoine au Sud, et connecter avec une hypothétique piste sur René-Lévesque.",255,10,49215;51328;48201;51794;51050;53265;53304;54178;54273;45397
53,17967,20325,2,Bike path needing improvement or adjustment,-73.57703897914526,45.50130700468276,"L'état de la chaussée est catastrophique sur De Maisonneuve (Claire-Morissette). Plusieurs ""near miss"" de cyclistes essayant d'éviter les trous et fissures dans la chaussée",172,3,48965;19019;51050
54,17967,20326,3,Missing bike path,-73.57431339759776,45.50411034838004,"Rajouter une piste sur Sherbrooke, conjointement avec l'ajout d'une piste sur René-Lévesque. Pour y arriver, il faut que Sherbrooke devienne unidirectionnelle pour les autos vers l'ouest et que René-Lévesque devienne vers l'est pour les autos. Cette transformation doit venir conjoitenemtn avec l'ajout de voies de bus bidirectionnelles sur Sherbrooke et René-Lévesque. Il faut imaginer René-Lévesque et Sherbrooke comme le Ring Strabe de Vienne.",446,8,51689;50569;51741;51908;51442;51050;53633;54375
55,17967,20327,3,Missing bike path,-73.57080977056565,45.49899412374407,"Le REV Peel se terminer abruptement à René-Lévesque. Plus au Nord, les cyclistes doivent naviguer entre les autos et les nids de poule. Il est temps de faire un aménagement temporaire le temps que Peel soit retapée en 2030. On ne peut vivre encore 4-5 ans dans cette situation.",277,17,51203;48140;49215;51328;50363;23025;51577;51858;51912;52137;48950;51050;5822;52509;53265;54007;54457
56,17967,20328,2,Bike path needing improvement or adjustment,-73.56210615118934,45.5197612347871,Il faut pérenniser ce nouveau lien cyclable qu est une continuité naturelle de Christophe-Colomb et offre une option vs. Saint-Denis qui est saturée. Aménager 2 unidirectionnelles qui permettront le retour du stationnement d'un côté de la rue.,243,15,49908;49440;49103;50516;46655;49600;48896;51656;48531;48655;52002;48310;52288;51050;52526
